height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,manOfTheMatch,goal,assistTotal,shotsPerGame,aerialWonPerGame,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,passSuccess,ranking
184,75,25,False,True,-DMC-,DMC,Germany,de,UEL,3,0,0,1,0,1.0,1.0,Patrick Osterhage,Patrick,Osterhage,422716,Midfielder,50,Freiburg,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.103333333333334,270,0.0,0.0,83.72093023255815,72
191,80,31,False,True,-AMC-AMR-FW-,"AM(CR),FW",Turkey,br,UEL,4,1,0,1,1,2.75,1.25,Anderson Talisca,Anderson,Souza Conceição,130573,Midfielder,223,Fenerbahce,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.1,247,1.0,0.0,82.35294117647058,73
187,71,30,False,True,-GK-,GK,Norway,no,UEL,5,0,0,0,0,0.0,0.0,Mathias Dyngeland,Mathias,Dyngeland,321003,Goalkeeper,446,Brann,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.097999999999999,450,1.0,0.0,74.70817120622569,74
169,72,34,False,True,-MC-ML-MR-,M(CLR),Switzerland,ch,UEL,5,1,1,3,1,3.2,0.4,Xherdan Shaqiri,Xherdan,Shaqiri,76304,Midfielder,401,FC Basel 1893,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.086,365,0.0,0.0,72.58064516129032,75
190,0,26,False,True,-GK-,GK,Netherlands,be,UEL,5,0,0,0,0,0.0,0.2,Jari De Busser,Jari,De Busser,451676,Goalkeeper,874,Go Ahead Eagles,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.0840000000000005,450,1.0,0.0,72.16494845360825,76
183,72,24,False,True,-DL-DR-ML-MR-,"D(LR),M(LR)",England,gb-wls,UEL,5,1,1,0,0,1.0,1.0,Neco Williams,Neco,Williams,386969,Defender,174,Nottingham Forest,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.0840000000000005,376,0.0,0.0,87.87878787878788,77
173,68,27,False,True,-AMC-AML-AMR-FW-,"AM(CLR),FW",Turkey,tr,UEL,4,0,1,3,0,2.5,0.25,Kerem Aktürkoglu,Kerem,Aktürkoglu,402880,Forward,223,Fenerbahce,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.0825,312,1.0,0.0,79.76190476190477,78
0,0,25,False,True,,Midfielder,Norway,dk,UEL,5,0,0,2,0,2.0,1.4,Emil Kornvig,Emil,Kornvig,446981,Midfielder,446,Brann,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.078,447,0.0,0.0,73.10344827586206,79
176,67,28,False,True,-DL-DR-MR-,"D(LR),M(R)",Greece,gb-eng,UEL,4,0,0,0,1,0.75,1.5,Jonjoe Kenny,Jonjoe,Kenny,255961,Defender,851,PAOK Thessaloniki FC,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.077500000000001,360,1.0,0.0,81.87919463087249,80
187,0,27,False,True,-GK-,GK,Czech Republic,cz,UEL,4,0,0,0,1,0.0,0.0,Martin Jedlicka,Martin,Jedlicka,401720,Goalkeeper,1076,Viktoria Plzen,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.077500000000001,360,0.0,0.0,50.943396226415096,81
