height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,manOfTheMatch,goal,assistTotal,shotsPerGame,aerialWonPerGame,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,passSuccess,ranking
187,81,25,False,True,-DC-DMC-,"D(C),DMC",Spain,fr,UCL,5,0,0,0,0,1.2,1.4,Aurélien Tchouaméni,Aurélien,Tchouaméni,353423,Midfielder,52,Real Madrid,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.276000000000001,440,1.0,0.0,91.93548387096774,55
195,77,33,False,True,-MC-ML-,M(CL),Belgium,be,UCL,5,0,1,1,2,0.4,1.2,Hans Vanaken,Hans,Vanaken,243567,Midfielder,124,Club Brugge,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.272,450,1.0,0.0,85.76158940397352,56
190,82,27,False,True,-DC-,D(C),Italy,it,UCL,3,0,0,1,0,0.6666666666666666,1.6666666666666667,Federico Gatti,Federico,Gatti,439909,Defender,87,Juventus,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.27,270,0.0,0.0,89.43089430894308,57
191,87,29,False,True,-AMR-FW-,"AM(R),FW",Germany,cz,UCL,3,1,0,2,0,1.3333333333333333,3.0,Patrik Schick,Patrik,Schick,243565,Forward,36,Leverkusen,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.263333333333333,213,0.0,0.0,74.35897435897436,58
174,70,20,False,True,,Midfielder,Denmark,,UCL,4,2,1,2,0,2.25,0.25,Robert Silva,Robert Vinicius,Rodrigues Silva,484203,Midfielder,10,Copenhagen,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.260000000000001,150,0.0,0.0,73.52941176470588,59
187,77,20,False,True,-AMC-AML-AMR-FW-,"AM(CLR),FW",Italy,tr,UCL,5,1,1,1,2,2.8,0.2,Kenan Yildiz,Kenan,Yildiz,494525,Forward,87,Juventus,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.26,373,0.0,0.0,83.33333333333334,60
174,68,23,False,True,-MC-ML-,M(CL),Spain,es,UCL,3,0,0,0,1,0.0,0.0,Pedri,Pedro,González López,402197,Midfielder,65,Barcelona,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.256666666666667,249,0.0,0.0,92.48826291079813,61
190,84,24,False,True,-DC-DR-,D(CR),England,fr,UCL,2,0,0,0,1,1.0,2.0,Wesley Fofana,Wesley,Fofana,373946,Defender,15,Chelsea,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.255,180,0.0,0.0,92.6829268292683,62
171,62,26,False,True,-DL-DR-MC-ML-MR-,"D(LR),M(CLR)",Netherlands,br,UCL,4,0,0,0,2,0.75,0.75,Mauro Júnior,Mauro Jaqueson Júnior,Ferreira dos Santos,346767,Defender,129,PSV Eindhoven,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.2524999999999995,360,0.0,0.0,92.89099526066352,63
192,90,28,False,True,-AML-FW-,"AM(L),FW",Italy,fr,UCL,4,2,0,2,1,3.75,2.75,Marcus Thuram,Marcus,Thuram,296322,Forward,75,Inter,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.245,197,1.0,0.0,75.51020408163265,64
