teamName,apps,assistTotal,goal,manOfTheMatch,minsPlayed,name,playedPositions,playedPositionsShort,playerId,positionText,ranking,redCard,teamId,teamRegionName,tournamentName,tournamentRegionId,tournamentRegionName,yellowCard,rating
Levante,7,0,0,0,213,Víctor García,,Defender,395708,Defender,359,0,832,Spain,LaLiga,206,Spain,0,6.298571429
Villarreal,9,1,1,0,407,Tani Oluwaseyi,-FW-,FW,445292,Forward,360,0,839,Spain,LaLiga,206,Spain,0,6.296666667
Deportivo Alaves,10,0,0,0,497,Victor Parada,,Defender,463966,Defender,361,0,60,Spain,LaLiga,206,Spain,3,6.292
Getafe,10,0,0,0,264,Coba da Costa,-AML-,AM(L),538555,Forward,362,0,819,Spain,LaLiga,206,Spain,1,6.287
Mallorca,11,1,0,0,541,Pablo Torre,-AMC-,AM(C),445092,Midfielder,363,0,51,Spain,LaLiga,206,Spain,1,6.285454545
Atletico,12,0,1,0,340,Conor Gallagher,-MC-ML-,M(CL),375621,Midfielder,364,0,63,Spain,LaLiga,206,Spain,1,6.284166667
Real Madrid,1,0,0,0,11,Endrick,-FW-,FW,445649,Forward,365,0,52,Spain,LaLiga,206,Spain,0,6.28
Espanyol,7,0,0,0,266,Charles Pickel,-MC-,M(C),316532,Midfielder,366,0,70,Spain,LaLiga,206,Spain,1,6.277142857
Atletico,5,0,0,0,134,Javi Galán,-DL-ML-,"D(L),M(L)",369497,Defender,367,0,63,Spain,LaLiga,206,Spain,0,6.276
Athletic Club,4,0,0,0,124,Nico Serrano,,Forward,423109,Forward,368,0,53,Spain,LaLiga,206,Spain,0,6.275
Osasuna,8,0,0,0,282,Jorge Herrando,-DC-,D(C),444253,Defender,369,0,131,Spain,LaLiga,206,Spain,0,6.27
Levante,3,0,0,0,117,Diego Pampín,,Defender,345366,Defender,370,0,832,Spain,LaLiga,206,Spain,1,6.266666667
Real Sociedad,3,0,0,0,40,Umar Sadiq,-FW-,FW,297546,Forward,371,0,68,Spain,LaLiga,206,Spain,0,6.266666667
Valencia,9,1,0,1,243,Dani Raba,-AMC-AMR-FW-,"AM(CR),FW",334221,Forward,372,0,55,Spain,LaLiga,206,Spain,0,6.26
Mallorca,9,0,1,0,439,Mateu Morey,-DR-MR-,"D(R),M(R)",384368,Defender,373,0,51,Spain,LaLiga,206,Spain,2,6.258888889
Elche,11,0,0,0,341,Léo Pétrot,-DC-DL-,D(CL),301330,Defender,374,0,833,Spain,LaLiga,206,Spain,0,6.256363636
Celta Vigo,6,0,0,0,292,Fran Beltrán,-DMC-,DMC,362421,Midfielder,375,0,62,Spain,LaLiga,206,Spain,0,6.255
