playedPositions,playedPositionsShort,teamRegionName,tournamentShortName,apps,subOn,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentRegionName,tournamentName,minsPlayed,yellowCard,redCard,ranking
-AMC-AML-AMR-FW-,"AM(CLR),FW",France,UCL,3,1,0,0,1,Takumi Minamino,262838,Midfielder,248,Monaco,Europe,Champions League,174,0,0,413
-AMC-AML-AMR-FW-,"AM(CLR),FW",Germany,UCL,4,1,0,0,1,Maximilian Beier,387125,Forward,44,Borussia Dortmund,Europe,Champions League,228,1,0,414
-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,UCL,2,2,0,0,0,Thiago Almada,361732,Midfielder,63,Atletico,Europe,Champions League,46,0,0,415
-DL-DR-ML-,"D(LR),M(L)",Italy,UCL,3,0,0,0,1,Leonardo Spinazzola,92329,Defender,276,Napoli,Europe,Champions League,237,1,0,416
-DC-,D(C),Italy,UCL,3,0,0,0,0,Sam Beukema,422739,Defender,276,Napoli,Europe,Champions League,237,0,0,417
-FW-,FW,Czech Republic,UCL,4,1,0,0,0,Tomás Chory,339647,Forward,349,Slavia Prague,Europe,Champions League,261,0,0,418
-FW-MC-ML-MR-,"M(CLR),FW",Germany,UCL,3,0,0,0,0,Ritsu Doan,343435,Midfielder,45,Eintracht Frankfurt,Europe,Champions League,222,1,0,419
-DL-ML-,"D(L),M(L)",Belgium,UCL,3,1,0,0,0,Bjorn Meijer,415775,Defender,124,Club Brugge,Europe,Champions League,153,0,0,420
-GK-,GK,Spain,UCL,4,0,0,0,0,Jan Oblak,76662,Goalkeeper,63,Atletico,Europe,Champions League,360,0,0,421
-DC-,D(C),Spain,UCL,4,0,0,0,0,Aitor Paredes,402663,Defender,53,Athletic Club,Europe,Champions League,360,2,0,422
,Defender,Denmark,UCL,3,1,0,0,1,Junnosuke Suzuki,562979,Defender,10,Copenhagen,Europe,Champions League,225,1,0,423
