playedPositions,playedPositionsShort,teamRegionName,tournamentShortName,apps,subOn,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentRegionName,tournamentName,minsPlayed,yellowCard,redCard,ranking
-AMC-FW-,"AM(C),FW",Germany,UCL,4,0,2,5,0,Harry Kane,83532,Forward,37,Bayern,Europe,Champions League,311,0,0,1
-FW-,FW,Turkey,UCL,3,0,2,6,0,Victor Osimhen,298510,Forward,294,Galatasaray,Europe,Champions League,226,0,0,2
-FW-,FW,Italy,UCL,3,0,3,4,0,Lautaro Martínez,299344,Forward,75,Inter,Europe,Champions League,172,1,0,3
-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,UCL,4,0,2,5,0,Kylian Mbappé,300713,Forward,52,Real Madrid,Europe,Champions League,351,0,0,4
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,UCL,3,0,2,2,1,Phil Foden,331254,Midfielder,167,Man City,Europe,Champions League,270,0,0,5
-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,UCL,3,0,2,2,2,Julián Alvarez,365409,Forward,63,Atletico,Europe,Champions League,270,0,0,6
-AMC-AML-AMR-FW-,"AM(CLR),FW",France,UCL,3,0,1,2,1,Khvicha Kvaratskhelia,370984,Forward,304,PSG,Europe,Champions League,228,0,0,7
-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,UCL,4,0,1,4,1,Marcus Rashford,300299,Forward,65,Barcelona,Europe,Champions League,327,0,0,8
-AMR-,AM(R),Spain,UCL,3,0,0,2,1,Lamine Yamal,480249,Forward,65,Barcelona,Europe,Champions League,255,2,0,9
-AMC-AML-,AM(CL),Spain,UCL,3,0,1,3,2,Fermín López,463838,Midfielder,65,Barcelona,Europe,Champions League,270,2,0,10
-DL-ML-,"D(L),M(L)",France,UCL,4,0,1,2,2,Nuno Mendes,395221,Defender,304,PSG,Europe,Champions League,345,2,0,11
-AMC-AML-AMR-,AM(CLR),Germany,UCL,4,0,0,1,2,Michael Olise,371281,Midfielder,37,Bayern,Europe,Champions League,334,1,0,12
-FW-,FW,England,UCL,4,0,1,5,0,Erling Haaland,315227,Forward,167,Man City,Europe,Champions League,342,0,0,13
-AMC-AML-AMR-,AM(CLR),Norway,UCL,4,0,2,2,0,Jens Petter Hauge,320977,Midfielder,439,Bodoe/Glimt,Europe,Champions League,356,0,0,14
-AML-AMR-FW-,"AM(LR),FW",England,UCL,3,1,0,3,1,Gabriel Martinelli,380706,Forward,13,Arsenal,Europe,Champions League,182,0,0,15
-FW-MC-ML-MR-,"M(CLR),FW",England,UCL,4,0,1,1,3,Dominik Szoboszlai,369875,Midfielder,26,Liverpool,Europe,Champions League,360,0,0,16
-FW-MC-ML-MR-,"M(CLR),FW",Italy,UCL,4,1,1,1,2,Hakan Çalhanoglu,110373,Midfielder,75,Inter,Europe,Champions League,255,0,0,17
-GK-,GK,Spain,UCL,4,0,1,0,1,Thibaut Courtois,73798,Goalkeeper,52,Real Madrid,Europe,Champions League,360,0,0,18
-DC-DL-,D(CL),England,UCL,4,0,1,2,0,Micky van de Ven,425229,Defender,30,Tottenham,Europe,Champions League,360,2,0,19
-AMC-AML-AMR-FW-,"AM(CLR),FW",Portugal,UCL,4,0,1,2,1,Trincão,368409,Forward,296,Sporting,Europe,Champions League,316,0,0,20
-DL-MC-ML-MR-,"D(L),M(CLR)",England,UCL,3,1,0,2,0,Bukayo Saka,367185,Forward,13,Arsenal,Europe,Champions League,197,0,0,21
-DC-DL-ML-,"D(CL),M(L)",England,UCL,4,0,1,1,0,Dan Burn,82277,Defender,23,Newcastle,Europe,Champions League,335,1,0,22
-GK-,GK,England,UCL,4,0,0,0,1,Nick Pope,105720,Goalkeeper,23,Newcastle,Europe,Champions League,360,0,0,23
-AML-FW-,"AM(L),FW",Italy,UCL,3,1,0,2,1,Marcus Thuram,296322,Forward,75,Inter,Europe,Champions League,172,1,0,24
-FW-MC-ML-MR-,"M(CLR),FW",England,UCL,3,1,1,1,2,Leandro Trossard,113994,Forward,13,Arsenal,Europe,Champions League,170,0,0,25
-MC-ML-,M(CL),Belgium,UCL,4,0,1,1,2,Hans Vanaken,243567,Midfielder,124,Club Brugge,Europe,Champions League,360,1,0,26
,Goalkeeper,Kazakhstan,UCL,2,0,0,0,0,Temirlan Anarbekov,421734,Goalkeeper,1770,Kairat Almaty,Europe,Champions League,180,0,0,27
-DL-DR-MC-ML-,"D(LR),M(CL)",Germany,UCL,2,0,0,1,0,Raphaël Guerreiro,115375,Defender,37,Bayern,Europe,Champions League,159,0,0,28
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,UCL,4,0,2,4,1,Anthony Gordon,349669,Forward,23,Newcastle,Europe,Champions League,306,0,0,29
-DC-,D(C),Italy,UCL,3,0,0,0,1,Alessandro Bastoni,329665,Defender,75,Inter,Europe,Champions League,239,0,0,30
-AML-AMR-FW-,"AM(LR),FW",Germany,UCL,4,0,1,3,0,Luis Díaz,377168,Forward,37,Bayern,Europe,Champions League,269,0,1,31
-FW-,FW,Germany,UCL,3,2,0,2,1,Nicolas Jackson,426050,Forward,37,Bayern,Europe,Champions League,112,0,0,32
-DC-DMC-DR-,"D(CR),DMC",France,UCL,3,0,0,1,0,Jordan Teze,361839,Defender,248,Monaco,Europe,Champions League,270,0,0,33
-AMC-AML-AMR-FW-,"AM(CLR),FW",France,UCL,4,0,0,1,1,Mason Greenwood,367782,Forward,249,Marseille,Europe,Champions League,316,0,0,34
-DC-DL-,D(CL),England,UCL,4,0,0,0,1,Josko Gvardiol,402664,Defender,167,Man City,Europe,Champions League,350,0,0,35
-DC-,D(C),England,UCL,4,0,0,1,1,Gabriel Magalhães,334087,Defender,13,Arsenal,Europe,Champions League,327,1,0,36
-AMC-AML-FW-,"AM(CL),FW",Spain,UCL,2,0,0,1,1,Giacomo Raspadori,371497,Forward,63,Atletico,Europe,Champions League,108,0,0,37
-FW-MC-,"M(C),FW",England,UCL,4,1,1,2,0,Mikel Merino,238916,Midfielder,13,Arsenal,Europe,Champions League,245,1,0,38
-MC-ML-MR-,M(CLR),England,UCL,4,0,0,1,1,Jérémy Doku,388098,Forward,167,Man City,Europe,Champions League,281,0,0,39
-DL-DR-MR-,"D(LR),M(R)",England,UCL,4,0,0,0,1,Kieran Trippier,83078,Defender,23,Newcastle,Europe,Champions League,339,0,0,40
-FW-MC-ML-MR-,"M(CLR),FW",Turkey,UCL,3,0,0,0,2,Leroy Sané,144711,Forward,294,Galatasaray,Europe,Champions League,247,0,0,41
-GK-,GK,Cyprus,UCL,4,0,0,0,0,Neofytos Michael,296202,Goalkeeper,2748,Pafos FC,Europe,Champions League,360,0,0,42
-DC-DMC-DR-,"D(CR),DMC",Cyprus,UCL,4,0,2,1,0,Derrick Luckassen,231140,Defender,2748,Pafos FC,Europe,Champions League,360,1,0,43
-DMC-,DMC,England,UCL,3,0,0,0,0,Martín Zubimendi,372424,Midfielder,13,Arsenal,Europe,Champions League,253,3,0,44
-AMC-AML-AMR-FW-,"AM(CLR),FW",Germany,UCL,3,0,0,1,2,Karim Adeyemi,392646,Forward,44,Borussia Dortmund,Europe,Champions League,234,0,0,45
-MC-,M(C),Germany,UCL,4,1,1,3,0,Felix Nmecha,367783,Midfielder,44,Borussia Dortmund,Europe,Champions League,259,0,0,46
-DC-,D(C),Spain,UCL,3,0,0,0,0,Dean Huijsen,468852,Defender,52,Real Madrid,Europe,Champions League,270,1,0,47
-GK-,GK,Italy,UCL,4,0,2,0,0,Marco Carnesecchi,383278,Goalkeeper,300,Atalanta,Europe,Champions League,360,0,0,48
-AMC-AMR-,AM(CR),England,UCL,4,2,2,2,0,Estêvão,510728,Forward,15,Chelsea,Europe,Champions League,225,1,0,49
-GK-,GK,France,UCL,4,0,0,0,0,Gerónimo Rulli,125375,Goalkeeper,249,Marseille,Europe,Champions League,360,0,0,50
-DL-ML-,"D(L),M(L)",England,UCL,3,0,0,1,1,Andy Robertson,115726,Defender,26,Liverpool,Europe,Champions League,264,0,0,51
-DC-DL-ML-,"D(CL),M(L)",Italy,UCL,3,1,0,1,0,Carlos Augusto,357897,Defender,75,Inter,Europe,Champions League,190,0,0,52
-AMC-AML-AMR-,AM(CLR),France,UCL,4,1,1,3,1,Igor Paixão,436553,Forward,249,Marseille,Europe,Champions League,224,0,0,53
-DR-MR-,"D(R),M(R)",Italy,UCL,4,0,0,2,0,Denzel Dumfries,322153,Defender,75,Inter,Europe,Champions League,333,0,0,54
-DR-,D(R),Azerbaijan,UCL,4,0,1,0,0,Matheus Silva,401149,Defender,2569,Qarabag FK,Europe,Champions League,349,2,0,55
-AML-AMR-,AM(LR),Belgium,UCL,4,0,1,2,2,Carlos Forbs,468850,Forward,124,Club Brugge,Europe,Champions League,260,0,0,56
-DC-,D(C),Italy,UCL,3,0,0,1,0,Federico Gatti,439909,Defender,87,Juventus,Europe,Champions League,270,0,0,57
-MC-,M(C),France,UCL,4,0,0,1,1,Vitinha,384887,Midfielder,304,PSG,Europe,Champions League,360,0,0,58
-MC-ML-,M(CL),Spain,UCL,3,0,0,0,1,Pedri,402197,Midfielder,65,Barcelona,Europe,Champions League,249,0,0,59
-GK-,GK,England,UCL,4,0,1,0,0,Guglielmo Vicario,147863,Goalkeeper,30,Tottenham,Europe,Champions League,360,0,0,60
-AML-AMR-,AM(LR),Belgium,UCL,4,0,0,1,1,Christos Tzolis,399296,Forward,124,Club Brugge,Europe,Champions League,350,0,0,61
-AML-AMR-FW-,"AM(LR),FW",France,UCL,4,0,1,0,2,Bradley Barcola,425366,Forward,304,PSG,Europe,Champions League,308,0,0,62
-DL-DR-MC-MR-,"D(LR),M(CR)",Germany,UCL,4,0,0,0,2,Konrad Laimer,248010,Midfielder,37,Bayern,Europe,Champions League,353,1,0,63
-DL-ML-,"D(L),M(L)",Germany,UCL,4,0,1,1,1,Alejandro Grimaldo,107252,Defender,36,Leverkusen,Europe,Champions League,360,0,0,64
-DC-DL-ML-,"D(CL),M(L)",Italy,UCL,4,1,0,0,0,Federico Dimarco,255929,Defender,75,Inter,Europe,Champions League,291,0,0,65
-AMR-FW-,"AM(R),FW",Germany,UCL,2,1,0,1,0,Patrik Schick,243565,Forward,36,Leverkusen,Europe,Champions League,123,0,0,66
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,UCL,4,0,0,0,2,Florian Wirtz,394786,Midfielder,26,Liverpool,Europe,Champions League,342,0,0,67
-DC-DR-MR-,"D(CR),M(R)",Turkey,UCL,3,0,0,0,0,Wilfried Singo,371063,Defender,294,Galatasaray,Europe,Champions League,270,0,0,68
-FW-MC-ML-MR-,"M(CLR),FW",France,UCL,4,0,1,1,3,Pierre-Emerick Aubameyang,44120,Forward,249,Marseille,Europe,Champions League,352,0,0,69
-DC-DMC-,"D(C),DMC",England,UCL,4,1,0,0,2,Declan Rice,332325,Midfielder,13,Arsenal,Europe,Champions League,293,2,0,70
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,UCL,4,1,0,1,1,Cody Gakpo,352825,Forward,26,Liverpool,Europe,Champions League,205,0,0,71
-FW-,FW,Spain,UCL,3,2,1,3,0,Gorka Guruzeta,362602,Forward,53,Athletic Club,Europe,Champions League,157,0,0,72
-AML-FW-,"AM(L),FW",Germany,UCL,4,0,1,1,2,Serhou Guirassy,236506,Forward,44,Borussia Dortmund,Europe,Champions League,334,0,0,73
-DC-,D(C),England,UCL,4,0,0,2,0,Virgil van Dijk,95408,Defender,26,Liverpool,Europe,Champions League,360,0,0,74
-DC-DMC-DR-,"D(CR),DMC",France,UCL,2,0,0,1,0,Marquinhos,101949,Defender,304,PSG,Europe,Champions League,180,0,0,75
-DL-,D(L),England,UCL,3,1,0,0,1,Myles Lewis-Skelly,467918,Defender,13,Arsenal,Europe,Champions League,197,1,0,76
-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,UCL,3,2,0,0,1,Rodrygo,347862,Forward,52,Real Madrid,Europe,Champions League,104,0,0,77
-GK-,GK,England,UCL,4,0,0,0,0,David Raya,276366,Goalkeeper,13,Arsenal,Europe,Champions League,360,0,0,78
-DC-,D(C),Italy,UCL,3,0,0,0,1,Yann Bisseck,349126,Defender,75,Inter,Europe,Champions League,238,1,0,79
,Midfielder,Germany,UCL,2,1,0,1,0,Lennart Karl,557706,Midfielder,37,Bayern,Europe,Champions League,86,0,0,80
-AMC-AML-,AM(CL),England,UCL,4,2,0,3,1,Harvey Barnes,331382,Midfielder,23,Newcastle,Europe,Champions League,172,0,0,81
-GK-,GK,Italy,UCL,4,0,0,0,0,Yann Sommer,35758,Goalkeeper,75,Inter,Europe,Champions League,360,0,0,82
-FW-,FW,Italy,UCL,4,1,0,1,2,Francesco Pio Esposito,497222,Forward,75,Inter,Europe,Champions League,274,0,0,83
-DR-MR-,"D(R),M(R)",England,UCL,4,0,0,0,1,Pedro Porro,362352,Defender,30,Tottenham,Europe,Champions League,360,1,0,84
-GK-,GK,Germany,UCL,3,0,0,0,0,Michael Zetterer,280191,Goalkeeper,45,Eintracht Frankfurt,Europe,Champions League,270,1,0,85
-GK-,GK,Norway,UCL,4,0,0,0,0,Nikita Haikin,275011,Goalkeeper,439,Bodoe/Glimt,Europe,Champions League,360,0,0,86
-DC-,D(C),England,UCL,4,1,0,0,0,Malick Thiaw,393355,Defender,23,Newcastle,Europe,Champions League,297,1,0,87
-DL-DR-MC-ML-MR-,"D(LR),M(CLR)",Netherlands,UCL,3,0,0,0,1,Mauro Júnior,346767,Defender,129,PSV Eindhoven,Europe,Champions League,270,0,0,88
-DC-,D(C),England,UCL,3,0,0,0,0,William Saliba,361822,Defender,13,Arsenal,Europe,Champions League,270,0,0,89
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,UCL,3,0,0,1,0,Wilson Odobert,444751,Forward,30,Tottenham,Europe,Champions League,239,0,0,90
,Forward,Norway,UCL,2,2,0,1,0,Daniel Bassi,437444,Forward,439,Bodoe/Glimt,Europe,Champions League,66,0,0,91
-DR-FW-MC-MR-,"D(R),M(CR),FW",Spain,UCL,4,1,0,3,0,Marcos Llorente,254582,Midfielder,63,Atletico,Europe,Champions League,272,0,0,92
-AMR-,AM(R),Azerbaijan,UCL,4,0,0,3,0,Leandro Andrade,443690,Midfielder,2569,Qarabag FK,Europe,Champions League,261,0,0,93
-FW-MC-ML-MR-,"M(CLR),FW",Spain,UCL,3,1,1,1,0,Jude Bellingham,379868,Midfielder,52,Real Madrid,Europe,Champions League,190,1,0,94
-AML-FW-,"AM(L),FW",England,UCL,3,0,1,2,0,Viktor Gyökeres,362815,Forward,13,Arsenal,Europe,Champions League,238,0,0,95
-DL-,D(L),England,UCL,3,0,0,0,1,Nico O'Reilly,468847,Midfielder,167,Man City,Europe,Champions League,266,1,0,96
-FW-,FW,Belgium,UCL,4,0,0,2,1,Nicolò Tresoldi,432044,Forward,124,Club Brugge,Europe,Champions League,297,0,0,97
-FW-MC-ML-MR-,"M(CLR),FW",England,UCL,3,1,0,0,0,Mohammed Kudus,400166,Midfielder,30,Tottenham,Europe,Champions League,200,0,0,98
-FW-,FW,Italy,UCL,4,2,1,3,1,Dusan Vlahovic,315369,Forward,87,Juventus,Europe,Champions League,193,0,0,99
-DC-,D(C),England,UCL,4,1,0,0,0,Sven Botman,379732,Defender,23,Newcastle,Europe,Champions League,284,0,0,100
-FW-MC-ML-,"M(CL),FW",Greece,UCL,4,0,0,0,1,Chiquinho,361961,Midfielder,843,Olympiacos,Europe,Champions League,281,0,0,101
-DC-DMC-,"D(C),DMC",Spain,UCL,4,0,0,0,0,Aurélien Tchouaméni,353423,Midfielder,52,Real Madrid,Europe,Champions League,350,1,0,102
-DC-,D(C),England,UCL,4,0,0,1,0,Ibrahima Konaté,345957,Defender,26,Liverpool,Europe,Champions League,345,0,0,103
-AMC-AML-AMR-FW-,"AM(CLR),FW",Italy,UCL,4,0,1,1,1,Kenan Yildiz,494525,Forward,87,Juventus,Europe,Champions League,328,0,0,104
-MC-,M(C),France,UCL,4,1,0,0,0,Mamadou Coulibaly,482049,Midfielder,248,Monaco,Europe,Champions League,307,1,0,105
-DMC-DR-,"D(R),DMC",France,UCL,2,1,0,1,0,João Neves,465388,Midfielder,304,PSG,Europe,Champions League,82,0,0,106
-DC-,D(C),Italy,UCL,3,0,0,0,0,Stefan de Vrij,82399,Defender,75,Inter,Europe,Champions League,226,1,0,107
-DC-DR-,D(CR),Spain,UCL,4,0,0,0,1,Jules Koundé,301019,Defender,65,Barcelona,Europe,Champions League,345,1,0,108
-DC-DMC-,"D(C),DMC",England,UCL,2,0,0,0,0,Rodri,303139,Midfielder,167,Man City,Europe,Champions League,121,1,0,109
-DC-DL-,D(CL),Netherlands,UCL,4,0,0,0,0,Yarek Gasiorowski,504417,Defender,129,PSV Eindhoven,Europe,Champions League,316,1,0,110
-AML-AMR-,AM(LR),Spain,UCL,4,0,0,1,1,Giuliano Simeone,422918,Forward,63,Atletico,Europe,Champions League,325,0,0,111
-DC-DL-DR-,D(CLR),England,UCL,4,1,0,0,0,Jurriën Timber,388650,Defender,13,Arsenal,Europe,Champions League,278,0,0,112
-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,UCL,4,1,0,1,0,Antoine Griezmann,80241,Forward,63,Atletico,Europe,Champions League,231,0,0,113
-DMC-,DMC,Belgium,UCL,2,0,0,1,0,Raphael Onyedika,425338,Midfielder,124,Club Brugge,Europe,Champions League,165,1,0,114
-AMC-AML-AMR-,AM(CLR),Turkey,UCL,3,0,0,2,0,Yunus Akgün,361709,Forward,294,Galatasaray,Europe,Champions League,223,0,0,115
-AMC-AMR-,AM(CR),Spain,UCL,4,0,0,0,1,Arda Güler,415181,Midfielder,52,Real Madrid,Europe,Champions League,308,0,0,116
-MC-ML-MR-,M(CLR),Portugal,UCL,4,0,0,1,1,Geovany Quenda,509068,Midfielder,296,Sporting,Europe,Champions League,311,1,0,117
-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,UCL,4,0,1,0,1,Nicolas Pépé,239872,Forward,839,Villarreal,Europe,Champions League,360,0,0,118
-DMC-,DMC,Portugal,UCL,4,0,0,1,0,Enzo Barrenechea,456787,Midfielder,299,Benfica,Europe,Champions League,360,1,0,119
-GK-,GK,France,UCL,4,0,0,0,0,Philipp Köhn,383689,Goalkeeper,248,Monaco,Europe,Champions League,360,0,0,120
-DC-,D(C),Turkey,UCL,4,0,0,0,0,Davinson Sánchez,322655,Defender,294,Galatasaray,Europe,Champions League,360,0,0,121
-AMC-AMR-FW-,"AM(CR),FW",Germany,UCL,4,1,1,2,1,Jonathan Burkardt,363037,Forward,45,Eintracht Frankfurt,Europe,Champions League,283,1,0,122
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,UCL,4,2,1,1,1,Mohamed Salah,108226,Forward,26,Liverpool,Europe,Champions League,224,0,0,123
-FW-MC-,"M(C),FW",France,UCL,4,1,0,1,0,Senny Mayulu,513665,Midfielder,304,PSG,Europe,Champions League,237,0,0,124
-DC-DR-,D(CR),Spain,UCL,3,0,0,0,0,Éder Militão,337879,Defender,52,Real Madrid,Europe,Champions League,270,1,0,125
-DL-DR-MR-,"D(LR),M(R)",France,UCL,4,0,0,0,3,Achraf Hakimi,320834,Defender,304,PSG,Europe,Champions League,322,1,0,126
-AMC-AMR-,AM(CR),Azerbaijan,UCL,4,0,0,0,0,Kady Borges,319707,Midfielder,2569,Qarabag FK,Europe,Champions League,301,0,0,127
-AMC-AML-AMR-,AM(CLR),Czech Republic,UCL,4,0,1,0,2,Lukás Provod,383685,Midfielder,349,Slavia Prague,Europe,Champions League,341,0,0,128
-MC-ML-,M(CL),Netherlands,UCL,4,0,0,0,1,Joey Veerman,382556,Midfielder,129,PSV Eindhoven,Europe,Champions League,360,1,0,129
-DL-ML-,"D(L),M(L)",Spain,UCL,2,1,0,0,0,Yuri Berchiche,56057,Defender,53,Athletic Club,Europe,Champions League,112,0,0,130
-DC-DL-ML-,"D(CL),M(L)",Spain,UCL,3,0,0,0,0,Álvaro Carreras,437583,Defender,52,Real Madrid,Europe,Champions League,270,2,0,131
-FW-MC-ML-MR-,"M(CLR),FW",Italy,UCL,3,0,1,0,2,Kevin De Bruyne,73084,Midfielder,276,Napoli,Europe,Champions League,191,0,0,132
-AMC-AML-,AM(CL),England,UCL,3,1,0,0,1,Jamie Gittens,436425,Forward,15,Chelsea,Europe,Champions League,165,0,0,133
-MC-,M(C),Italy,UCL,3,0,0,0,1,Éderson,362556,Midfielder,300,Atalanta,Europe,Champions League,241,1,0,134
-AMC-AML-AMR-FW-,"AM(CLR),FW",Germany,UCL,3,1,0,0,1,Serge Gnabry,119501,Forward,37,Bayern,Europe,Champions League,181,0,0,135
,Goalkeeper,Czech Republic,UCL,2,0,0,0,0,Jakub Markovic,383684,Goalkeeper,349,Slavia Prague,Europe,Champions League,180,0,0,136
-DC-DMC-,"D(C),DMC",Cyprus,UCL,4,0,0,0,0,David Luiz,27586,Defender,2748,Pafos FC,Europe,Champions League,273,0,0,137
-DC-DL-,D(CL),France,UCL,3,0,0,0,0,Mohammed Salisu,362357,Defender,248,Monaco,Europe,Champions League,263,1,0,138
-DL-ML-,"D(L),M(L)",Germany,UCL,4,0,0,0,1,Nathaniel Brown,445354,Defender,45,Eintracht Frankfurt,Europe,Champions League,341,1,0,139
-AMC-AML-AMR-FW-,"AM(CLR),FW",Greece,UCL,4,0,0,0,0,Daniel Podence,300513,Forward,843,Olympiacos,Europe,Champions League,342,1,0,140
-DC-,D(C),Germany,UCL,4,0,0,0,0,Dayot Upamecano,327721,Defender,37,Bayern,Europe,Champions League,334,0,0,141
-DMC-,DMC,England,UCL,4,0,0,0,0,Bruno Guimarães,338780,Midfielder,23,Newcastle,Europe,Champions League,319,0,0,142
-DC-,D(C),Spain,UCL,3,1,0,0,0,Raúl Asencio,534899,Defender,52,Real Madrid,Europe,Champions League,195,0,0,143
-FW-MC-ML-MR-,"M(CLR),FW",France,UCL,4,4,1,0,0,Lee Kang-In,367780,Midfielder,304,PSG,Europe,Champions League,137,0,0,144
-DC-,D(C),England,UCL,4,1,0,0,0,Rúben Dias,313171,Defender,167,Man City,Europe,Champions League,281,1,0,145
-AMC-AMR-,AM(CR),Netherlands,UCL,4,1,1,2,0,Dennis Man,329769,Forward,129,PSV Eindhoven,Europe,Champions League,231,0,0,146
-AMR-,AM(R),Spain,UCL,3,1,0,0,0,Franco Mastantuono,514810,Midfielder,52,Real Madrid,Europe,Champions League,139,0,0,147
,Defender,Czech Republic,UCL,4,1,0,2,0,Youssoupha Mbodji,581579,Defender,349,Slavia Prague,Europe,Champions League,269,2,0,148
,Forward,Azerbaijan,UCL,4,0,1,1,1,Camilo Durán,496971,Forward,2569,Qarabag FK,Europe,Champions League,296,0,0,149
-DMC-ML-,"DMC,M(L)",Italy,UCL,3,0,0,0,1,Khéphren Thuram,366379,Midfielder,87,Juventus,Europe,Champions League,224,1,0,150
-AMC-AML-FW-,"AM(CL),FW",France,UCL,3,1,0,1,0,Ansu Fati,382234,Forward,248,Monaco,Europe,Champions League,161,0,0,151
-AMC-AMR-,AM(CR),France,UCL,4,0,0,0,1,Maghnes Akliouche,426648,Midfielder,248,Monaco,Europe,Champions League,343,0,0,152
-DC-DMC-DR-,"D(CR),DMC",Netherlands,UCL,3,1,0,0,0,Ryan Flamingo,444737,Defender,129,PSV Eindhoven,Europe,Champions League,204,0,0,153
-DC-,D(C),Turkey,UCL,3,0,0,0,0,Abdülkerim Bardakci,108073,Defender,294,Galatasaray,Europe,Champions League,270,1,0,154
-DC-,D(C),England,UCL,2,0,0,0,1,Cristian Romero,323663,Defender,30,Tottenham,Europe,Champions League,163,0,0,155
-GK-,GK,Germany,UCL,4,0,0,0,0,Manuel Neuer,13754,Goalkeeper,37,Bayern,Europe,Champions League,360,1,0,156
-DR-MR-,"D(R),M(R)",Greece,UCL,2,0,0,0,0,Rodinei,121184,Defender,843,Olympiacos,Europe,Champions League,151,0,0,157
,Forward,Portugal,UCL,4,4,0,2,0,Alisson Santos,557549,Forward,296,Sporting,Europe,Champions League,70,0,0,158
-MR-,M(R),Belgium,UCL,4,0,0,0,0,Anan Khalaili,444136,Forward,2647,Union St.Gilloise,Europe,Champions League,343,0,0,159
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,UCL,4,1,0,1,0,Joelinton,201755,Midfielder,23,Newcastle,Europe,Champions League,238,2,0,160
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,UCL,4,2,1,0,1,Xavi Simons,399772,Midfielder,30,Tottenham,Europe,Champions League,200,1,0,161
-DC-MC-,"D(C),M(C)",Turkey,UCL,4,0,0,0,1,Mario Lemina,123481,Midfielder,294,Galatasaray,Europe,Champions League,296,1,0,162
-FW-MC-,"M(C),FW",Netherlands,UCL,4,1,0,0,2,Guus Til,322148,Midfielder,129,PSV Eindhoven,Europe,Champions League,277,1,0,163
-DC-DR-,D(CR),Spain,UCL,4,0,0,0,0,Santiago Mouriño,448936,Defender,839,Villarreal,Europe,Champions League,360,2,0,164
-DC-,D(C),Belgium,UCL,2,1,0,1,0,Ross Sykes,342821,Defender,2647,Union St.Gilloise,Europe,Champions League,113,0,0,165
-DC-DR-,D(CR),Kazakhstan,UCL,3,0,1,0,0,Aleksandr Martynovich,30091,Defender,1770,Kairat Almaty,Europe,Champions League,270,0,0,166
-DC-,D(C),Italy,UCL,4,0,0,0,0,Berat Djimsiti,100962,Defender,300,Atalanta,Europe,Champions League,345,1,0,167
-MC-,M(C),England,UCL,4,0,0,0,0,Rodrigo Bentancur,303657,Midfielder,30,Tottenham,Europe,Champions League,322,0,0,168
-DC-,D(C),France,UCL,3,0,0,0,0,Nayef Aguerd,362434,Defender,249,Marseille,Europe,Champions League,270,2,0,169
-DR-ML-MR-,"D(R),M(LR)",England,UCL,3,2,0,0,2,Jacob Murphy,141486,Midfielder,23,Newcastle,Europe,Champions League,139,0,0,170
-DL-ML-,"D(L),M(L)",Turkey,UCL,4,1,0,0,0,Ismail Jakobs,349699,Defender,294,Galatasaray,Europe,Champions League,289,2,0,171
-DC-DR-MR-,"D(CR),M(R)",Germany,UCL,2,0,0,1,0,Rasmus Kristensen,302812,Defender,45,Eintracht Frankfurt,Europe,Champions League,149,0,0,172
-DR-MR-,"D(R),M(R)",Germany,UCL,2,0,0,1,0,Yan Couto,421975,Defender,44,Borussia Dortmund,Europe,Champions League,153,0,0,173
-AMC-,AM(C),Germany,UCL,3,2,0,1,1,Carney Chukwuemeka,410639,Midfielder,44,Borussia Dortmund,Europe,Champions League,114,0,0,174
-DMC-,DMC,England,UCL,3,0,0,0,1,Sandro Tonali,343501,Midfielder,23,Newcastle,Europe,Champions League,270,0,0,175
-AMC-AMR-,AM(CR),Italy,UCL,3,2,0,1,0,Francisco Conceição,409221,Forward,87,Juventus,Europe,Champions League,145,1,0,176
-DR-MR-,"D(R),M(R)",Portugal,UCL,3,0,0,0,0,Iván Fresneda,444257,Defender,296,Sporting,Europe,Champions League,260,0,0,177
-DL-DR-,D(LR),Belgium,UCL,3,1,0,0,1,Joaquin Seys,483461,Defender,124,Club Brugge,Europe,Champions League,209,0,0,178
-MC-ML-,M(CL),France,UCL,3,0,0,0,1,Fabián Ruiz,294193,Midfielder,304,PSG,Europe,Champions League,193,0,0,179
-DC-DL-DR-MC-ML-MR-,"D(CLR),M(CLR)",Germany,UCL,4,1,0,0,1,Julian Ryerson,320436,Defender,44,Borussia Dortmund,Europe,Champions League,297,0,0,180
-DL-ML-,"D(L),M(L)",Portugal,UCL,4,0,0,1,0,Maxi Araújo,460758,Midfielder,296,Sporting,Europe,Champions League,336,2,0,181
-DC-,D(C),Czech Republic,UCL,4,0,0,0,0,David Zima,404203,Defender,349,Slavia Prague,Europe,Champions League,360,0,0,182
