playedPositions,playedPositionsShort,apps,subOn,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
-AMC-AML-FW-,"AM(CL),FW",8,5,1,5,0,Ansu Fati,382234,Forward,248,Monaco,22,fr,France,Ligue 1,6.59375,345,1,0,137
-GK-,GK,12,0,1,0,1,Mory Diaw,235829,Goalkeeper,217,Le Havre,22,fr,France,Ligue 1,6.593333333,1080,0,0,138
-MC-,M(C),9,2,0,1,1,Mamadou Coulibaly,482049,Midfielder,248,Monaco,22,fr,France,Ligue 1,6.592222222,516,4,0,139
,Forward,10,7,0,2,2,Afonso Moreira,478033,Forward,228,Lyon,22,fr,France,Ligue 1,6.59,341,2,0,140
-DR-MC-MR-,"D(R),M(CR)",11,1,0,0,0,Loïc Négo,77963,Defender,217,Le Havre,22,fr,France,Ligue 1,6.59,902,1,0,141
-MC-,M(C),12,1,0,0,2,Yassin Belkhdim,434710,Midfielder,614,Angers,22,fr,France,Ligue 1,6.59,944,2,0,142
-MC-MR-,M(CR),11,1,0,0,0,Cristian Cásseres,360502,Midfielder,246,Toulouse,22,fr,France,Ligue 1,6.572727273,900,2,0,143
-ML-MR-,M(LR),11,5,1,2,1,Théo Le Bris,423962,Midfielder,146,Lorient,22,fr,France,Ligue 1,6.571818182,578,0,0,144
-DMC-,DMC,12,1,0,0,0,Ayumu Seko,457079,Defender,217,Le Havre,22,fr,France,Ligue 1,6.571666667,1005,2,0,145
-FW-MC-ML-,"M(CL),FW",9,2,0,1,0,Himad Abdelli,447045,Midfielder,614,Angers,22,fr,France,Ligue 1,6.567777778,620,0,0,146
-MC-,M(C),12,3,0,3,0,Rassoul Ndiaye,438661,Midfielder,217,Le Havre,22,fr,France,Ligue 1,6.5675,753,0,0,147
-MC-,M(C),8,4,0,2,0,Vincent Marchetti,289331,Midfielder,2832,Paris FC,22,fr,France,Ligue 1,6.56625,328,1,0,148
,Forward,7,5,0,0,1,Sam Amo-Ameyaw,482895,Forward,148,Strasbourg,22,fr,France,Ligue 1,6.561428571,303,1,0,149
-MC-,M(C),11,1,0,0,0,Kévin Danois,444755,Midfielder,308,Auxerre,22,fr,France,Ligue 1,6.560909091,884,1,0,150
