playedPositions,playedPositionsShort,teamRegionName,tournamentShortName,apps,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
-MC-ML-MR-,M(CLR),England,EPL,8,0,1,0,Mason Mount,343346,Midfielder,32,Man Utd,England,Premier League,6.5325,354,0,0,180
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,11,0,2,0,Brennan Johnson,379688,Forward,30,Tottenham,England,Premier League,6.520909091,470,2,0,181
-FW-MC-,"M(C),FW",England,EPL,10,0,1,1,Mikel Merino,238916,Midfielder,13,Arsenal,England,Premier League,6.52,415,0,0,182
-DC-MC-ML-MR-,"D(C),M(CLR)",England,EPL,11,0,0,2,Jordan Henderson,68659,Midfielder,189,Brentford,England,Premier League,6.52,836,3,0,183
-DL-DR-MR-,"D(LR),M(R)",England,EPL,10,0,0,0,Djed Spence,362219,Defender,30,Tottenham,England,Premier League,6.517,761,2,0,184
-AML-FW-,"AM(L),FW",England,EPL,9,0,1,0,Dominic Calvert-Lewin,141469,Forward,19,Leeds,England,Premier League,6.516666667,617,0,0,185
-DC-DL-DMC-,"D(CL),DMC",England,EPL,9,0,0,0,Pascal Struijk,355609,Defender,19,Leeds,England,Premier League,6.516666667,728,1,0,186
-AML-FW-,"AM(L),FW",England,EPL,8,0,2,0,Mathys Tel,422885,Forward,30,Tottenham,England,Premier League,6.51125,249,0,0,187
-AMC-AMR-FW-,"AM(CR),FW",England,EPL,10,0,0,1,David Brooks,295084,Midfielder,183,Bournemouth,England,Premier League,6.51,556,3,0,188
-MC-,M(C),England,EPL,11,0,0,0,João Gomes,403693,Midfielder,161,Wolves,England,Premier League,6.506363636,837,3,0,189
-GK-,GK,England,EPL,11,1,0,0,Caoimhín Kelleher,322176,Goalkeeper,189,Brentford,England,Premier League,6.493636364,990,1,0,190
-DC-DL-DR-ML-MR-,"D(CLR),M(LR)",England,EPL,7,0,0,0,Timothy Castagne,141169,Defender,170,Fulham,England,Premier League,6.491428571,399,0,0,191
-MC-ML-MR-,M(CLR),England,EPL,10,0,1,1,Enzo Le Fée,398393,Midfielder,16,Sunderland,England,Premier League,6.491,696,1,0,192
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,11,0,2,1,Morgan Gibbs-White,332867,Midfielder,174,Nottingham Forest,England,Premier League,6.489090909,911,0,0,193
-AMC-AMR-,AM(CR),England,EPL,7,0,1,1,Brajan Gruda,471784,Midfielder,211,Brighton,England,Premier League,6.484285714,220,0,0,194
-FW-,FW,England,EPL,8,1,2,0,Callum Wilson,134115,Forward,29,West Ham,England,Premier League,6.48375,368,0,0,195
-DC-,D(C),England,EPL,11,0,0,0,Maxime Estève,414233,Defender,184,Burnley,England,Premier League,6.483636364,983,0,0,196
