tournamentShortName,apps,subOn,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
UCL,3,1,0,2,0,Ferran Torres,349760,Forward,65,Barcelona,12,250,ceu,Europe,Champions League,6.723333333,169,0,0,226
UCL,3,1,0,1,0,Tyrique George,523597,Forward,15,Chelsea,12,250,ceu,Europe,Champions League,6.723333333,152,0,0,227
UCL,3,2,0,0,0,CJ Egan-Riley,425574,Defender,249,Marseille,12,250,ceu,Europe,Champions League,6.72,135,0,0,228
UCL,4,2,0,0,0,Stepán Chaloupek,499961,Defender,349,Slavia Prague,12,250,ceu,Europe,Champions League,6.7175,274,0,0,229
UCL,3,1,0,0,0,Ronald Araujo,384711,Defender,65,Barcelona,12,250,ceu,Europe,Champions League,6.716666667,196,0,0,230
UCL,4,1,0,1,0,Nick Woltemade,386606,Forward,23,Newcastle,12,250,ceu,Europe,Champions League,6.715,269,0,0,231
UCL,4,1,0,0,3,Tijjani Reijnders,343382,Midfielder,167,Man City,12,250,ceu,Europe,Champions League,6.715,266,0,0,232
UCL,3,2,1,0,0,Eljif Elmas,339579,Midfielder,276,Napoli,12,250,ceu,Europe,Champions League,6.713333333,115,0,0,233
UCL,3,2,0,1,0,Geny Catamo,425093,Midfielder,296,Sporting,12,250,ceu,Europe,Champions League,6.713333333,95,0,0,234
UCL,3,0,0,0,0,Mohamed Elyounoussi,141732,Midfielder,10,Copenhagen,12,250,ceu,Europe,Champions League,6.71,252,0,0,235
UCL,4,1,0,2,0,Aleix García,280663,Midfielder,36,Leverkusen,12,250,ceu,Europe,Champions League,6.71,309,0,0,236
UCL,3,0,1,1,0,Gelson Martins,296576,Midfielder,843,Olympiacos,12,250,ceu,Europe,Champions League,6.71,198,0,0,237
UCL,2,0,0,0,1,Krépin Diatta,335692,Midfielder,248,Monaco,12,250,ceu,Europe,Champions League,6.71,147,1,0,238
UCL,2,0,0,0,0,Leonardo Balerdi,362788,Defender,249,Marseille,12,250,ceu,Europe,Champions League,6.71,180,1,0,239
UCL,3,0,0,0,0,Dodi Lukébakio,299490,Forward,299,Benfica,12,250,ceu,Europe,Champions League,6.703333333,257,2,0,240
UCL,4,0,0,0,0,Egor Sorokin,243195,Defender,1770,Kairat Almaty,12,250,ceu,Europe,Champions League,6.7025,360,0,0,241
UCL,3,1,0,0,0,Eduardo Quaresma,394932,Defender,296,Sporting,12,250,ceu,Europe,Champions League,6.696666667,180,0,0,242
UCL,4,0,0,0,0,Jerdy Schouten,331555,Midfielder,129,PSV Eindhoven,12,250,ceu,Europe,Champions League,6.695,316,0,0,243
UCL,2,1,0,1,0,Ousmane Dembélé,299513,Forward,304,PSG,12,250,ceu,Europe,Champions League,6.695,52,0,0,244
UCL,4,0,0,0,0,Patrick Berg,320986,Midfielder,439,Bodoe/Glimt,12,250,ceu,Europe,Champions League,6.695,360,2,0,245
UCL,4,0,0,1,0,Anouar Ait El Hadj,400139,Midfielder,2647,Union St.Gilloise,12,250,ceu,Europe,Champions League,6.6925,300,0,0,246
UCL,4,0,0,1,0,Ofri Arad,399380,Defender,1770,Kairat Almaty,12,250,ceu,Europe,Champions League,6.6925,295,2,0,247
UCL,4,1,1,1,0,Moisés Caicedo,410175,Midfielder,15,Chelsea,12,250,ceu,Europe,Champions League,6.69,311,1,0,248
UCL,3,0,0,0,0,Caio Henrique,320313,Defender,248,Monaco,12,250,ceu,Europe,Champions League,6.686666667,226,0,0,249
UCL,2,2,0,0,1,Sofiane Boufal,234363,Forward,2647,Union St.Gilloise,12,250,ceu,Europe,Champions League,6.685,33,0,0,250
UCL,4,1,0,0,0,Nnamdi Collins,450125,Defender,45,Eintracht Frankfurt,12,250,ceu,Europe,Champions League,6.6825,269,0,0,251
UCL,4,1,0,1,1,Ansgar Knauff,403747,Forward,45,Eintracht Frankfurt,12,250,ceu,Europe,Champions League,6.675,281,0,0,252
UCL,4,1,0,0,0,Thilo Kehrer,255167,Defender,248,Monaco,12,250,ceu,Europe,Champions League,6.6725,315,1,0,253
UCL,3,2,0,0,0,Destiny Udogie,401044,Defender,30,Tottenham,12,250,ceu,Europe,Champions League,6.67,102,0,0,254
UCL,2,0,0,0,0,Adama Boiro,515307,Defender,53,Athletic Club,12,250,ceu,Europe,Champions League,6.67,158,0,0,255
UCL,2,2,0,0,1,João Mário,395173,Defender,87,Juventus,12,250,ceu,Europe,Champions League,6.67,105,0,0,256
UCL,4,0,0,0,0,Nicolás Otamendi,75691,Defender,299,Benfica,12,250,ceu,Europe,Champions League,6.67,360,2,0,257
UCL,2,1,0,0,0,Piero Hincapié,404832,Defender,13,Arsenal,12,250,ceu,Europe,Champions League,6.67,74,0,0,258
UCL,3,2,0,1,0,Julian Brandt,141556,Midfielder,44,Borussia Dortmund,12,250,ceu,Europe,Champions League,6.666666667,108,0,0,259
UCL,3,2,0,1,0,Alejandro Garnacho,437022,Forward,15,Chelsea,12,250,ceu,Europe,Champions League,6.663333333,128,0,0,260
UCL,4,1,0,0,0,Pape Matar Sarr,403859,Midfielder,30,Tottenham,12,250,ceu,Europe,Champions League,6.6625,259,0,0,261
UCL,2,1,0,0,0,Fran García,422957,Defender,52,Real Madrid,12,250,ceu,Europe,Champions League,6.66,96,0,0,262
UCL,4,1,0,0,1,Jonathan Tah,134946,Defender,37,Bayern,12,250,ceu,Europe,Champions League,6.66,243,1,0,263
UCL,4,0,0,0,0,Pape Gueye,399047,Midfielder,839,Villarreal,12,250,ceu,Europe,Champions League,6.66,339,2,0,264
UCL,3,0,0,0,1,Ryan Gravenberch,363884,Midfielder,26,Liverpool,12,250,ceu,Europe,Champions League,6.66,242,1,0,265
UCL,3,2,0,0,0,Lewis Miley,474264,Midfielder,23,Newcastle,12,250,ceu,Europe,Champions League,6.656666667,145,0,0,266
UCL,4,0,1,2,0,Ismael Saibari,404776,Midfielder,129,PSV Eindhoven,12,250,ceu,Europe,Champions League,6.655,336,2,0,267
UCL,2,0,0,0,0,Jindrich Stanek,303019,Goalkeeper,349,Slavia Prague,12,250,ceu,Europe,Champions League,6.655,180,0,0,268
UCL,3,2,0,0,1,Randal Kolo Muani,333542,Forward,30,Tottenham,12,250,ceu,Europe,Champions League,6.653333333,105,2,0,269
UCL,4,1,0,0,0,David Goldar,144095,Defender,2748,Pafos FC,12,250,ceu,Europe,Champions League,6.6525,294,0,0,270
UCL,4,2,0,0,0,Gerard Martín,512879,Defender,65,Barcelona,12,250,ceu,Europe,Champions League,6.6525,170,1,0,271
UCL,4,1,0,0,2,Marcel Sabitzer,92051,Midfielder,44,Borussia Dortmund,12,250,ceu,Europe,Champions League,6.65,260,0,0,272
UCL,4,0,0,1,0,Robin Le Normand,367008,Defender,63,Atletico,12,250,ceu,Europe,Champions League,6.65,296,2,0,273
UCL,2,2,0,1,0,Rayan Cherki,386153,Midfielder,167,Man City,12,250,ceu,Europe,Champions League,6.645,15,0,0,274
UCL,4,0,0,0,0,Vanja Milinkovic-Savic,149474,Goalkeeper,276,Napoli,12,250,ceu,Europe,Champions League,6.64,360,0,0,275
UCL,4,3,0,1,0,Brahim Díaz,317541,Midfielder,52,Real Madrid,12,250,ceu,Europe,Champions League,6.635,132,1,0,276
UCL,2,2,0,0,0,Sacha Boey,372280,Defender,37,Bayern,12,250,ceu,Europe,Champions League,6.635,65,0,0,277
UCL,3,2,0,1,0,Robert Silva,484203,Midfielder,10,Copenhagen,12,250,ceu,Europe,Champions League,6.633333333,71,0,0,278
UCL,4,2,0,0,0,Eberechi Eze,332403,Midfielder,13,Arsenal,12,250,ceu,Europe,Champions League,6.6325,186,0,0,279
UCL,2,0,0,0,0,Josip Stanisic,413272,Defender,37,Bayern,12,250,ceu,Europe,Champions League,6.63,141,1,0,280
UCL,2,0,0,0,1,Malo Gusto,403850,Defender,15,Chelsea,12,250,ceu,Europe,Champions League,6.63,171,0,0,281
UCL,4,0,0,0,0,Lucas Torreira,248109,Midfielder,294,Galatasaray,12,250,ceu,Europe,Champions League,6.6275,357,0,0,282
UCL,2,2,0,0,0,Jorne Spileers,459085,Defender,124,Club Brugge,12,250,ceu,Europe,Champions League,6.625,54,0,0,283
UCL,4,0,0,0,0,Odin Bjørtuft,354608,Defender,439,Bodoe/Glimt,12,250,ceu,Europe,Champions League,6.625,360,1,0,284
UCL,4,0,0,0,2,Mikel Jauregizar,511120,Midfielder,53,Athletic Club,12,250,ceu,Europe,Champions League,6.6225,295,1,0,285
UCL,4,0,1,0,0,Ugurcan Çakir,258840,Goalkeeper,294,Galatasaray,12,250,ceu,Europe,Champions League,6.6225,360,1,0,286
UCL,3,1,0,1,0,Can Uzun,467776,Midfielder,45,Eintracht Frankfurt,12,250,ceu,Europe,Champions League,6.62,156,0,0,287
UCL,3,1,0,0,0,Facundo Buonanotte,432384,Midfielder,15,Chelsea,12,250,ceu,Europe,Champions League,6.62,163,1,0,288
UCL,4,0,0,0,2,Håkon Evjen,356742,Midfielder,439,Bodoe/Glimt,12,250,ceu,Europe,Champions League,6.6175,355,0,0,289
UCL,3,1,0,0,0,Alexander Isak,299254,Forward,26,Liverpool,12,250,ceu,Europe,Champions League,6.616666667,132,0,0,290
UCL,4,3,0,1,0,Alexis Mac Allister,345319,Midfielder,26,Liverpool,12,250,ceu,Europe,Champions League,6.615,149,1,0,291
UCL,3,1,0,0,1,Alex Berenguer,238899,Forward,53,Athletic Club,12,250,ceu,Europe,Champions League,6.613333333,232,0,0,292
UCL,3,2,0,0,0,Ibrahim Mbaye,535536,Forward,304,PSG,12,250,ceu,Europe,Champions League,6.613333333,99,0,0,293
UCL,3,1,1,1,0,Mario Pasalic,129903,Midfielder,300,Atalanta,12,250,ceu,Europe,Champions League,6.613333333,225,0,0,294
UCL,3,0,0,0,0,Stanislav Lobotka,111892,Midfielder,276,Napoli,12,250,ceu,Europe,Champions League,6.613333333,235,0,0,295
UCL,2,1,0,0,0,Archie Gray,429922,Midfielder,30,Tottenham,12,250,ceu,Europe,Champions League,6.61,98,0,0,296
UCL,4,0,0,0,0,Anatoliy Trubin,369877,Goalkeeper,299,Benfica,12,250,ceu,Europe,Champions League,6.6075,360,0,0,297
UCL,3,1,0,0,0,Curtis Jones,355354,Midfielder,26,Liverpool,12,250,ceu,Europe,Champions League,6.603333333,191,1,0,298
UCL,4,0,0,1,0,Daniel Svensson,418584,Defender,44,Borussia Dortmund,12,250,ceu,Europe,Champions League,6.6025,360,1,0,299
UCL,4,1,0,0,1,Pote,344378,Midfielder,296,Sporting,12,250,ceu,Europe,Champions League,6.6025,278,2,0,300
UCL,3,2,0,0,0,Cristhian Mosquera,425591,Defender,13,Arsenal,12,250,ceu,Europe,Champions League,6.6,124,0,0,301
UCL,3,0,0,0,0,Robert Sánchez,362151,Goalkeeper,15,Chelsea,12,250,ceu,Europe,Champions League,6.6,270,0,0,302
UCL,4,0,0,0,0,Lorenzo Pirola,390738,Defender,843,Olympiacos,12,250,ceu,Europe,Champions League,6.6,346,1,0,303
UCL,4,1,0,1,0,Mislav Orsic,141670,Forward,2748,Pafos FC,12,250,ceu,Europe,Champions League,6.5975,304,1,0,304
UCL,4,0,0,0,1,Heorhii Sudakov,404104,Midfielder,299,Benfica,12,250,ceu,Europe,Champions League,6.595,326,0,0,305
UCL,4,3,0,1,0,Oleksii Kashchuk,399837,Midfielder,2569,Qarabag FK,12,250,ceu,Europe,Champions League,6.595,122,0,0,306
UCL,4,2,0,0,0,Costinha,395954,Defender,843,Olympiacos,12,250,ceu,Europe,Champions League,6.595,215,0,0,307
UCL,4,4,0,2,0,Lazar Samardzic,393039,Midfielder,300,Atalanta,12,250,ceu,Europe,Champions League,6.595,80,0,0,308
UCL,4,3,0,0,0,Conor Bradley,424945,Defender,26,Liverpool,12,250,ceu,Europe,Champions League,6.5925,221,2,0,309
UCL,4,4,0,1,0,Emmanuel Addai,462454,Forward,2569,Qarabag FK,12,250,ceu,Europe,Champions League,6.5925,137,0,0,310
UCL,2,0,0,0,0,Roméo Lavia,425319,Midfielder,15,Chelsea,12,250,ceu,Europe,Champions League,6.585,74,0,0,311
UCL,4,2,0,0,0,Anthony Elanga,413211,Forward,23,Newcastle,12,250,ceu,Europe,Champions League,6.5825,165,0,0,312
UCL,3,1,0,0,0,Honest Ahanor,535735,Defender,300,Atalanta,12,250,ceu,Europe,Champions League,6.58,185,0,0,313
UCL,4,0,0,0,0,Benjamin Pavard,259648,Defender,249,Marseille,12,250,ceu,Europe,Champions League,6.58,358,2,0,314
UCL,4,0,0,0,0,Pablo Barrios,434138,Midfielder,63,Atletico,12,250,ceu,Europe,Champions League,6.58,345,0,0,315
UCL,4,0,0,1,0,Vangelis Pavlidis,330514,Forward,299,Benfica,12,250,ceu,Europe,Champions League,6.58,349,0,0,316
UCL,3,1,0,0,0,Davide Zappacosta,141312,Midfielder,300,Atalanta,12,250,ceu,Europe,Champions League,6.576666667,209,0,0,317
UCL,3,1,0,0,0,Matteo Ruggeri,402046,Defender,63,Atletico,12,250,ceu,Europe,Champions League,6.576666667,207,0,0,318
UCL,3,1,0,0,0,Nicolò Barella,148684,Midfielder,75,Inter,12,250,ceu,Europe,Champions League,6.576666667,174,1,0,319
UCL,4,0,0,0,0,Lukas Lerager,342577,Midfielder,10,Copenhagen,12,250,ceu,Europe,Champions League,6.57,360,2,0,320
UCL,4,0,0,0,0,Matej Kovár,388668,Goalkeeper,129,PSV Eindhoven,12,250,ceu,Europe,Champions League,6.57,360,0,0,321
UCL,4,0,0,0,0,Christian Burgess,134493,Defender,2647,Union St.Gilloise,12,250,ceu,Europe,Champions League,6.565,360,1,0,322
UCL,4,0,0,0,0,Odilon Kossounou,384516,Defender,300,Atalanta,12,250,ceu,Europe,Champions League,6.5625,288,1,0,323
UCL,4,3,0,0,1,Ken Sema,145392,Midfielder,2748,Pafos FC,12,250,ceu,Europe,Champions League,6.5625,107,0,0,324
UCL,4,0,0,0,0,Richard Ríos,402213,Midfielder,299,Benfica,12,250,ceu,Europe,Champions League,6.5575,336,1,0,325
UCL,3,1,0,0,0,Tomás Araújo,426502,Defender,299,Benfica,12,250,ceu,Europe,Champions League,6.556666667,197,1,0,326
UCL,2,1,0,0,0,Ethan Nwaneri,456771,Midfielder,13,Arsenal,12,250,ceu,Europe,Champions League,6.555,82,1,0,327
