,playedPositionsShort,teamRegionName,apps,subOn,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
-AMC-AMR-,AM(CR),Italy,11,0,2,1,2,Arthur Atta,469507,Midfielder,86,Udinese,Italy,Serie A,7.062727273,951,1,0,17
-AMR-FW-,"AM(R),FW",Italy,9,0,1,4,3,Domenico Berardi,118542,Forward,2889,Sassuolo,Italy,Serie A,7.061111111,759,2,0,18
-DC-,D(C),Italy,9,1,0,0,0,Jacobo Ramón,516374,Defender,1290,Como,Italy,Serie A,7.061111111,719,2,1,19
-FW-MC-MR-,"M(CR),FW",Italy,11,2,2,5,0,Riccardo Orsolini,286828,Forward,71,Bologna,Italy,Serie A,7.051818182,746,1,0,20
-AMC-AML-FW-,"AM(CL),FW",Italy,7,2,2,4,1,Rafael Leão,349207,Forward,80,AC Milan,Italy,Serie A,7.032857143,454,0,0,21
-FW-MC-MR-,"M(CR),FW",Italy,11,1,2,3,2,Matías Soulé,425079,Forward,84,Roma,Italy,Serie A,7.026363636,792,0,0,22
-FW-,FW,Italy,11,1,1,4,2,Lautaro Martínez,299344,Forward,75,Inter,Italy,Serie A,7.011818182,824,2,0,23
-GK-,GK,Italy,11,0,2,0,0,Mile Svilar,331422,Goalkeeper,84,Roma,Italy,Serie A,7.009090909,990,0,0,24
-DC-,D(C),Italy,7,0,0,0,0,Francesco Acerbi,54968,Defender,75,Inter,Italy,Serie A,7.001428571,623,1,0,25
-DC-,D(C),Italy,10,0,1,1,0,Guillermo Maripán,121417,Defender,72,Torino,Italy,Serie A,6.994,833,1,0,26
-GK-,GK,Italy,11,0,2,0,0,Jean Butez,256536,Goalkeeper,1290,Como,Italy,Serie A,6.993636364,990,0,0,27
-DC-,D(C),Italy,11,0,0,1,1,Saúl Coco,431167,Defender,72,Torino,Italy,Serie A,6.972727273,990,0,0,28
