playedPositions,playedPositionsShort,teamRegionName,tournamentShortName,apps,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,seasonName,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
-MC-ML-MR-,M(CLR),Germany,GB,7,0,1,0,Florian Kainz,296499,Midfielder,282,FC Koln,2025/2026,Germany,Bundesliga,6.488571429,192,0,0,184
-AML-FW-,"AM(L),FW",Germany,GB,9,0,2,0,Derry Scherhant,444289,Forward,50,Freiburg,2025/2026,Germany,Bundesliga,6.487777778,310,0,0,185
-AMC-AMR-,AM(CR),Germany,GB,8,0,1,0,Paul Nebel,401107,Midfielder,219,Mainz,2025/2026,Germany,Bundesliga,6.4825,689,2,1,186
-FW-,FW,Germany,GB,8,0,0,2,Victor Boniface,384000,Forward,42,Werder Bremen,2025/2026,Germany,Bundesliga,6.47625,280,1,0,187
-DL-DR-ML-MR-,"D(LR),M(LR)",Germany,GB,10,0,0,0,Phillipp Mwene,124021,Defender,219,Mainz,2025/2026,Germany,Bundesliga,6.474,798,2,0,188
-DC-DR-MR-,"D(CR),M(R)",Germany,GB,7,0,0,0,Kilian Fischer,420243,Defender,33,Wolfsburg,2025/2026,Germany,Bundesliga,6.472857143,606,0,0,189
-GK-,GK,Germany,GB,10,0,0,0,Diant Ramaj,373154,Goalkeeper,4852,FC Heidenheim,2025/2026,Germany,Bundesliga,6.472,900,1,0,190
-DC-,D(C),Germany,GB,8,0,0,0,Philipp Lienhart,298446,Defender,50,Freiburg,2025/2026,Germany,Bundesliga,6.47125,704,1,1,191
-DMC-,DMC,Germany,GB,8,0,0,1,Nicolás Capaldo,369480,Midfielder,38,Hamburg,2025/2026,Germany,Bundesliga,6.47,572,2,0,192
-DL-,D(L),Germany,GB,10,0,0,0,Lukas Ullrich,444285,Defender,134,Borussia M.Gladbach,2025/2026,Germany,Bundesliga,6.468,626,1,0,193
-AMR-,AM(R),Germany,GB,8,0,2,0,Adam Daghim,514499,Forward,33,Wolfsburg,2025/2026,Germany,Bundesliga,6.46625,538,0,0,194
,Defender,Germany,GB,6,0,1,0,Isaac Schmidt,538407,Defender,42,Werder Bremen,2025/2026,Germany,Bundesliga,6.465,125,1,0,195
-AMC-AML-AMR-FW-,"AM(CLR),FW",Germany,GB,9,0,0,0,Lucas Höler,227655,Forward,50,Freiburg,2025/2026,Germany,Bundesliga,6.46,633,0,0,196
-MC-,M(C),Germany,GB,6,0,0,0,Xaver Schlager,262856,Midfielder,7614,RBL,2025/2026,Germany,Bundesliga,6.453333333,249,1,0,197
-AMC-AMR-,AM(CR),Germany,GB,8,0,1,1,Lovro Majer,369887,Midfielder,33,Wolfsburg,2025/2026,Germany,Bundesliga,6.45125,344,1,0,198
-FW-MC-ML-MR-,"M(CLR),FW",Germany,GB,9,0,1,1,Chris Führich,349888,Midfielder,41,Stuttgart,2025/2026,Germany,Bundesliga,6.45,309,0,0,199
-ML-,M(L),Germany,GB,10,0,1,0,Louis Oppie,486768,Defender,283,St. Pauli,2025/2026,Germany,Bundesliga,6.449,900,0,0,200
-DC-DR-MR-,"D(CR),M(R)",Germany,GB,10,0,0,0,Danny da Costa,94934,Defender,219,Mainz,2025/2026,Germany,Bundesliga,6.44,823,2,0,201
